"customerkey","geographykey","customername","englisheducation","commutedistance"
12025,542,"Logan Diaz","High School","5-10 Miles"
12026,383,"Lucas Flores","High School","0-1 Miles"
12027,635,"Haley Wood","High School","5-10 Miles"
12028,335,"Sarah Lewis","Partial High School","5-10 Miles"
12029,298,"Damien Hu","Partial High School","0-1 Miles"
12030,618,"Ana Washington","High School","5-10 Miles"
12031,49,"Logan Jai","Partial High School","5-10 Miles"
12032,62,"Tyler Taylor","Partial High School","5-10 Miles"
12062,358,"Edward Long","Bachelors","10+ Miles"
12033,611,"Kristen Guo","High School","0-1 Miles"
12034,33,"Julian Long","Bachelors","5-10 Miles"
12035,31,"Gerald Prasad","Bachelors","0-1 Miles"
12036,26,"Summer Lopez","Bachelors","0-1 Miles"
12037,21,"Patricia Chapman","Bachelors","5-10 Miles"
12038,3,"George Vance","Bachelors","5-10 Miles"
12039,32,"Ricardo Nath","Graduate Degree","1-2 Miles"
12040,359,"Richard Torres","Partial College","5-10 Miles"
12041,627,"Seth Martin","High School","5-10 Miles"
12042,648,"Alex Carter","High School","5-10 Miles"
12043,322,"Carson Patterson","Partial College","5-10 Miles"
12044,337,"Madeline Lopez","Partial College","5-10 Miles"
12045,339,"Luis Russell","Partial College","1-2 Miles"
12046,358,"Alexa Cook","Partial College","1-2 Miles"
12047,383,"Alexandra Davis","Partial College","1-2 Miles"
12048,542,"Kayla Coleman","Partial College","5-10 Miles"
12049,338,"Angela Russell","Bachelors","1-2 Miles"
12050,336,"Aaron Young","Graduate Degree","1-2 Miles"
12051,343,"Isaiah Scott","Bachelors","1-2 Miles"
12052,355,"Makayla Ward","Bachelors","1-2 Miles"
12053,301,"Cedric Gao","Graduate Degree","0-1 Miles"
12054,57,"Luke Diaz","Bachelors","0-1 Miles"
12055,56,"Arianna Richardson","Bachelors","0-1 Miles"
12056,54,"Ian Ward","Graduate Degree","5-10 Miles"
12057,627,"Madeline Collins","Graduate Degree","5-10 Miles"
12058,322,"Chloe Nelson","Bachelors","0-1 Miles"
12059,635,"Jason Jenkins","Bachelors","0-1 Miles"
12060,66,"Andrew Wedge","Graduate Degree","0-1 Miles"
12061,62,"Bryce Brooks","Bachelors","0-1 Miles"
12063,609,"Xavier Martinez","Bachelors","10+ Miles"
12064,539,"John White","Bachelors","10+ Miles"
12065,618,"Isaiah Collins","Bachelors","10+ Miles"
12066,338,"Wyatt Powell","Bachelors","10+ Miles"
12067,355,"Aaron Bryant","Bachelors","10+ Miles"
12068,345,"Maria Jenkins","Bachelors","10+ Miles"
12069,307,"Garrett Kelly","Bachelors","1-2 Miles"
12070,300,"Luke Ross","Bachelors","10+ Miles"
12071,300,"Robert Robinson","Bachelors","1-2 Miles"
12072,334,"Tristan Ross","Bachelors","1-2 Miles"
12073,334,"Thomas Rodriguez","Bachelors","10+ Miles"
12074,59,"Megan Jenkins","Bachelors","10+ Miles"
12075,618,"Cameron Griffin","Bachelors","10+ Miles"
12076,322,"Chloe Washington","Bachelors","10+ Miles"
12077,65,"Nicole Sandberg","Bachelors","10+ Miles"
12078,648,"Jose Edwards","Bachelors","2-5 Miles"
12079,343,"Nathaniel Cooper","Bachelors","2-5 Miles"
12080,49,"Grace Sanchez","Bachelors","10+ Miles"
12081,59,"Kaitlyn Perez","Bachelors","10+ Miles"
12082,315,"Lauren Sanchez","Bachelors","10+ Miles"
12083,614,"Kayla Alexander","Bachelors","10+ Miles"
12084,545,"Aidan Perry","Bachelors","2-5 Miles"
12085,547,"Tyler Rodriguez","Bachelors","2-5 Miles"
12086,62,"Emily Clark","Bachelors","10+ Miles"
12087,334,"Sean Cook","Bachelors","10+ Miles"
12088,548,"Lauren Thompson","Bachelors","10+ Miles"
12089,54,"Nathaniel Richardson","Bachelors","10+ Miles"
12090,62,"Savannah Carter","High School","10+ Miles"
12091,536,"Eddie Munoz","High School","2-5 Miles"
12092,612,"Austin White","High School","2-5 Miles"
12093,300,"Levi Chandra","Partial College","2-5 Miles"
12094,335,"Bailey Bailey","Bachelors","2-5 Miles"
12095,336,"Austin Griffin","Bachelors","10+ Miles"
12096,358,"Caitlin Brooks","Bachelors","2-5 Miles"
12097,65,"Sean Allen","Partial College","10+ Miles"
12098,641,"Grace Clark","Partial College","10+ Miles"
12099,648,"Sydney Hall","Partial College","2-5 Miles"
12100,301,"Jon Sun","Bachelors","10+ Miles"
12101,345,"Logan Patterson","Partial College","10+ Miles"
12102,347,"Devin Simmons","Partial College","1-2 Miles"
12103,348,"Chloe White","Partial College","10+ Miles"
12104,352,"Mariah Ross","Partial College","10+ Miles"
12105,385,"Abigail Foster","Partial College","10+ Miles"
12106,59,"Isaiah Baker","Partial High School","2-5 Miles"
12107,69,"Nathan Gonzales","Partial High School","2-5 Miles"
12108,627,"James Walker","Partial College","10+ Miles"
12109,641,"Morgan Foster","Partial College","10+ Miles"
12110,302,"Bianca Guo","Partial College","10+ Miles"
12111,322,"Jacqueline Gonzales","Partial College","2-5 Miles"
12112,337,"Arianna Henderson","Partial College","1-2 Miles"
12113,51,"Nathan Hughes","High School","10+ Miles"
12114,53,"Charles Richardson","High School","10+ Miles"
12115,543,"Chloe Richardson","High School","2-5 Miles"
12116,547,"Amanda Gray","High School","10+ Miles"
12117,637,"Cameron Yang","Partial College","2-5 Miles"
12118,298,"Miguel Sanchez","Partial College","10+ Miles"
12119,299,"Keith Raje","Partial College","2-5 Miles"
12120,618,"Xavier Simmons","High School","10+ Miles"
12121,545,"Logan Wilson","High School","10+ Miles"
12151,335,"Steven Kelly","Bachelors","1-2 Miles"
12122,68,"Destiny Coleman","Partial College","10+ Miles"
12123,275,"Wesley Liang","Bachelors","0-1 Miles"
12124,192,"Brandi Gill","Partial College","5-10 Miles"
12125,149,"Diana Ortega","Partial College","0-1 Miles"
12126,247,"Tammy Raman","High School","5-10 Miles"
12127,186,"Grace Davis","Partial College","2-5 Miles"
12128,123,"Kristy Munoz","High School","5-10 Miles"
12129,158,"Wendy Alvarez","High School","5-10 Miles"
12130,151,"Suzanne Zhou","High School","5-10 Miles"
12131,186,"Randall Dominguez","High School","2-5 Miles"
12132,224,"Kaitlyn Henderson","Partial College","5-10 Miles"
12133,242,"Colleen Xie","Partial College","5-10 Miles"
12134,269,"Hector Alonso","High School","0-1 Miles"
12135,316,"Fernando Taylor","Partial College","5-10 Miles"
12136,49,"Blake Turner","High School","1-2 Miles"
12137,347,"Jack Green","Graduate Degree","5-10 Miles"
12138,536,"Colin Jai","Graduate Degree","0-1 Miles"
12139,609,"Franklin Yang","Graduate Degree","0-1 Miles"
12140,71,"Oscar Russell","Partial College","0-1 Miles"
12141,536,"Kaitlyn Lee","Partial College","2-5 Miles"
12142,545,"Gabriella Torres","Bachelors","2-5 Miles"
12143,632,"Logan Turner","Bachelors","2-5 Miles"
12144,632,"Kelly Jenkins","Partial College","0-1 Miles"
12145,644,"Brandon Butler","Partial College","2-5 Miles"
12146,311,"Xavier Thomas","Bachelors","1-2 Miles"
12147,50,"Taylor Patterson","Bachelors","2-5 Miles"
12148,548,"Gabrielle Morris","Partial College","2-5 Miles"
12149,552,"Bailey Scott","Partial College","2-5 Miles"
12150,316,"Logan Wang","Graduate Degree","1-2 Miles"
12152,335,"Adrian Ramirez","Bachelors","0-1 Miles"
12153,348,"Kaitlyn Bailey","Partial College","5-10 Miles"
12154,71,"Hailey Adams","Partial College","2-5 Miles"
12155,648,"Gabriella Lopez","Partial College","2-5 Miles"
12156,301,"Bonnie Raji","Graduate Degree","5-10 Miles"
12157,336,"William White","Graduate Degree","2-5 Miles"
12158,66,"Kyle Phillips","Partial College","2-5 Miles"
12159,71,"Kaitlyn Scott","Partial College","2-5 Miles"
12160,536,"Jaclyn Zhang","Partial College","5-10 Miles"
12161,648,"Alexandria Rogers","Partial College","2-5 Miles"
12162,331,"Luke Mitchell","Partial College","5-10 Miles"
12163,368,"Aaron Wang","Bachelors","0-1 Miles"
12164,372,"Noah Butler","Bachelors","0-1 Miles"
12165,51,"Caleb Flores","Partial College","0-1 Miles"
12166,54,"Jared Rogers","Partial College","5-10 Miles"
12167,637,"Sebastian Stewart","Partial College","5-10 Miles"
12168,614,"Hunter Jackson","Partial College","5-10 Miles"
12169,312,"Abigail Howard","High School","5-10 Miles"
12170,325,"Sara Reed","Bachelors","2-5 Miles"
12171,335,"Alyssa Cooper","Bachelors","0-1 Miles"
12172,345,"Eduardo Alexander","Bachelors","0-1 Miles"
12173,345,"Dalton Edwards","Bachelors","2-5 Miles"
12174,374,"Charles Phillips","Graduate Degree","2-5 Miles"
12175,368,"Luke Powell","High School","5-10 Miles"
12176,548,"Cody James","High School","5-10 Miles"
12177,59,"Kevin Campbell","High School","5-10 Miles"
12178,547,"Ethan Shan","Partial High School","5-10 Miles"
12179,543,"Alexis Jones","Graduate Degree","5-10 Miles"
12180,536,"Holly Mehta","Graduate Degree","1-2 Miles"
12181,352,"Katelyn Sanders","Graduate Degree","0-1 Miles"
12182,49,"Erin Torres","High School","2-5 Miles"
12183,66,"Emily Robinson","Partial College","5-10 Miles"
12184,546,"Isaiah Perez","Partial College","1-2 Miles"
12185,648,"Kaitlyn Patterson","Partial College","5-10 Miles"
12186,299,"Bryant Srini","Partial College","1-2 Miles"
12187,300,"Ruben Subram","Partial College","1-2 Miles"
12188,307,"Ashley Thomas","Partial College","5-10 Miles"
12189,338,"Sophia Wright","Bachelors","2-5 Miles"
12190,361,"Justin Gonzales","Graduate Degree","0-1 Miles"
12191,383,"Melissa Washington","Partial High School","5-10 Miles"
12192,609,"Jocelyn Hayes","Partial High School","1-2 Miles"
12193,56,"Caleb Simmons","High School","5-10 Miles"
12194,361,"Destiny Foster","Graduate Degree","5-10 Miles"
12195,343,"Erin Morris","Graduate Degree","1-2 Miles"
12196,68,"Alexis Miller","Graduate Degree","1-2 Miles"
12197,339,"Adam Hernandez","Graduate Degree","1-2 Miles"
12198,545,"Noah Scott","Graduate Degree","5-10 Miles"
12199,644,"Christina Richardson","Partial College","1-2 Miles"
12200,310,"Rafael Sharma","Graduate Degree","10+ Miles"
12201,302,"Mindy Yuan","Graduate Degree","1-2 Miles"
12202,66,"Xavier Ross","Graduate Degree","1-2 Miles"
12203,60,"Zachary Hughes","Graduate Degree","5-10 Miles"
12204,536,"Bradley Jai","Graduate Degree","2-5 Miles"
12205,301,"Madison Long","Bachelors","0-1 Miles"
12206,337,"Sierra Parker","Bachelors","5-10 Miles"
12207,618,"Samuel Hill","Bachelors","5-10 Miles"
12208,609,"Dominique Sanchez","Bachelors","2-5 Miles"
12209,298,"Mindy Jai","Bachelors","0-1 Miles"
12210,247,"Alan He","Graduate Degree","0-1 Miles"
12211,206,"Victor Romero","Graduate Degree","0-1 Miles"
12212,209,"Shawna Xie","Graduate Degree","0-1 Miles"
12213,159,"Alejandro Lal","Graduate Degree","0-1 Miles"
12214,243,"Julie Raje","Graduate Degree","0-1 Miles"
12215,254,"Karla She","Graduate Degree","0-1 Miles"
12216,258,"Gerald Rodriguez","Graduate Degree","0-1 Miles"
12217,209,"Kyle Roberts","Bachelors","0-1 Miles"
12218,124,"Mitchell Xu","Bachelors","0-1 Miles"
12219,188,"Kurt Nara","Bachelors","0-1 Miles"
12220,217,"Virginia Sara","Bachelors","0-1 Miles"
12221,208,"Brandi Ruiz","Graduate Degree","0-1 Miles"
12222,248,"Jenny Xu","Graduate Degree","0-1 Miles"
12223,166,"Felicia Vazquez","Graduate Degree","0-1 Miles"
12224,243,"Tristan Henderson","Graduate Degree","0-1 Miles"
12225,173,"Kathleen Ortega","Graduate Degree","0-1 Miles"
12226,120,"Faith Ward","Bachelors","0-1 Miles"
12227,241,"Kelsey Raje","Partial College","0-1 Miles"
12228,125,"Mayra Martinez","Bachelors","0-1 Miles"
12229,149,"Kari Gomez","Partial College","0-1 Miles"
12230,132,"Wesley Zheng","Partial College","0-1 Miles"
12231,161,"Isabelle Patterson","Partial College","0-1 Miles"
12232,160,"Sean Hernandez","Partial College","0-1 Miles"
12233,254,"Jerry Yuan","Partial College","1-2 Miles"
12234,211,"Clarence Zeng","Partial College","2-5 Miles"
12235,235,"Donna Rai","Graduate Degree","0-1 Miles"
12236,132,"Kendra Gill","Partial College","0-1 Miles"
12237,133,"Ruth Madan","Partial College","0-1 Miles"
12238,172,"Monica Raman","Bachelors","0-1 Miles"
12239,254,"Alberto Ramos","Bachelors","0-1 Miles"
12240,8,"Clayton Sharma","Partial College","2-5 Miles"
12241,19,"Kristine Sandberg","Partial College","0-1 Miles"
12242,29,"Gilbert Liang","Partial College","2-5 Miles"
12243,34,"Kristy Rubio","Partial College","2-5 Miles"
12244,14,"Amy Huang","Bachelors","0-1 Miles"
12245,14,"Francisco Gonzalez","Partial College","2-5 Miles"
12246,36,"Shawn Luo","High School","2-5 Miles"
12247,3,"Brandy Raman","Bachelors","0-1 Miles"
12248,34,"Devin Taylor","High School","1-2 Miles"
12249,8,"Jessie Cai","Bachelors","0-1 Miles"
12250,20,"Andrea Collins","High School","1-2 Miles"
12251,22,"Troy Suri","Partial College","0-1 Miles"
12252,21,"Omar Liu","Partial College","0-1 Miles"
12253,12,"Jenny Sun","Partial College","0-1 Miles"
12254,222,"Calvin Deng","Partial College","1-2 Miles"
12255,180,"Robyn Alvarez","Partial College","0-1 Miles"
12256,212,"Wendy Ramos","Partial College","1-2 Miles"
12257,123,"Ross Ruiz","Graduate Degree","0-1 Miles"
12258,144,"Jamie Li","Graduate Degree","0-1 Miles"
12259,230,"Cindy Madan","Graduate Degree","0-1 Miles"
12260,236,"Melinda Romero","Graduate Degree","0-1 Miles"
12261,186,"Kaitlin Sanchez","High School","2-5 Miles"
12262,234,"Morgan Sanchez","Partial College","2-5 Miles"
12263,259,"Emmanuel Garcia","Partial College","0-1 Miles"
12264,260,"Bruce Ashe","Partial College","0-1 Miles"
12265,219,"Alan Guo","High School","1-2 Miles"
12266,160,"Tiffany Lin","Partial College","2-5 Miles"
12267,211,"Clifford Garcia","Partial College","2-5 Miles"
12268,138,"Edwin Shan","Graduate Degree","0-1 Miles"
12269,185,"Warren Zheng","Graduate Degree","0-1 Miles"
12270,153,"Ebony Ramos","Graduate Degree","0-1 Miles"
12271,251,"Tyrone Hernandez","Bachelors","0-1 Miles"
12272,243,"Justin Alexander","Graduate Degree","0-1 Miles"
12273,121,"Nelson Carlson","Bachelors","0-1 Miles"
12274,203,"Javier Torres","High School","0-1 Miles"
12275,125,"Adriana Madan","Partial College","2-5 Miles"
12276,123,"Alisha Shan","Bachelors","0-1 Miles"
12277,237,"Beth Ortega","High School","0-1 Miles"
12278,130,"Meredith Johnsen","High School","0-1 Miles"
12279,203,"Mathew Suarez","Bachelors","0-1 Miles"
12280,179,"Theresa Alvarez","Bachelors","0-1 Miles"
12281,263,"Janelle Sanchez","Graduate Degree","0-1 Miles"
12282,276,"Nicolas Tang","Graduate Degree","0-1 Miles"
12283,231,"Todd Zeng","Partial College","2-5 Miles"
12284,233,"Cristina Beck","Bachelors","0-1 Miles"
12285,221,"Bethany Chande","Bachelors","0-1 Miles"
12286,265,"Nathan Jenkins","Graduate Degree","0-1 Miles"
12287,241,"Andre Arun","Partial College","0-1 Miles"
12288,265,"Sara Brooks","High School","0-1 Miles"
12289,269,"Joseph Taylor","High School","0-1 Miles"
12290,187,"Kaylee Morris","High School","0-1 Miles"
12291,115,"Johnathan Suri","Partial College","2-5 Miles"
12292,229,"Nicolas Kumar","Bachelors","0-1 Miles"
12293,233,"Tammy Garcia","Bachelors","5-10 Miles"
12294,254,"Shane Kovar","Bachelors","0-1 Miles"
12295,216,"Dwayne Gomez","Partial High School","10+ Miles"
12296,211,"Francisco Sara","High School","2-5 Miles"
12297,131,"Felicia Blanco","Partial College","2-5 Miles"
12298,171,"Crystal Zeng","Partial College","2-5 Miles"
12299,274,"Walter Serrano","Graduate Degree","5-10 Miles"
12300,180,"Adriana Gonzalez","Partial College","10+ Miles"
12301,223,"Nichole Nara","Bachelors","10+ Miles"
12302,131,"Kevin Coleman","Bachelors","2-5 Miles"
12303,250,"Kristi Alvarez","Partial College","0-1 Miles"
12304,253,"Alejandro Zhou","Partial College","0-1 Miles"
12305,234,"Xavier Bailey","Partial College","2-5 Miles"
12306,120,"Logan Parker","Partial College","10+ Miles"
12307,226,"Brad She","High School","2-5 Miles"
12308,184,"Margaret He","High School","10+ Miles"
12309,235,"Omar Raje","Partial College","0-1 Miles"
12310,239,"Stacy Munoz","High School","0-1 Miles"
12311,255,"Stanley Weber","High School","0-1 Miles"
12312,196,"Jake Zhao","Bachelors","10+ Miles"
12313,199,"Jaime Chande","Bachelors","10+ Miles"
12314,119,"Jill Suarez","Bachelors","10+ Miles"
12315,246,"Ann Rodriguez","Partial College","10+ Miles"
12316,255,"Alejandro Luo","Partial College","10+ Miles"
12317,262,"Carl She","Bachelors","0-1 Miles"
12318,271,"Kristina Schmidt","Bachelors","10+ Miles"
12319,115,"Shannon Ye","High School","10+ Miles"
12320,233,"Cheryl Alvarez","Partial College","10+ Miles"
12321,211,"Rosa Hu","Partial High School","2-5 Miles"
12322,211,"Kari Mehta","High School","10+ Miles"
12323,219,"Lawrence Alonso","High School","10+ Miles"
12324,147,"Dale Lal","High School","10+ Miles"
12325,244,"Gloria Martin","High School","10+ Miles"
12326,279,"Glenn Zhou","Partial College","0-1 Miles"
12327,156,"Edwin Liang","Partial College","10+ Miles"
12328,250,"Eugene Zhao","High School","0-1 Miles"
12329,278,"Bonnie Shan","Partial College","0-1 Miles"
12330,144,"Preston Raman","Partial College","5-10 Miles"
12331,185,"Meagan Chandra","Partial High School","10+ Miles"
12332,193,"Andres Nara","High School","5-10 Miles"
12333,190,"Terrance Rodriguez","High School","5-10 Miles"
12334,250,"Roy Jimenez","High School","10+ Miles"
12335,267,"Francisco Ashe","High School","0-1 Miles"
12336,261,"Wyatt Price","Graduate Degree","0-1 Miles"
12337,6,"Dustin Goldstein","Bachelors","5-10 Miles"
12338,38,"Monica Vance","Bachelors","10+ Miles"
12339,29,"Clayton Jai","Bachelors","10+ Miles"
12340,21,"Stacy Diaz","Bachelors","10+ Miles"
12341,5,"Katie Kumar","Bachelors","10+ Miles"
12342,18,"Morgan Young","Bachelors","10+ Miles"
12343,9,"Gloria Ruiz","Bachelors","10+ Miles"
12344,3,"Dominique Perez","Bachelors","10+ Miles"
12345,27,"Alison Raje","Bachelors","10+ Miles"
12346,15,"Wesley Gao","Bachelors","10+ Miles"
12347,40,"Summer Madan","Bachelors","10+ Miles"
12348,6,"Jimmy Vazquez","Bachelors","10+ Miles"
12349,15,"Lacey Yuan","Bachelors","10+ Miles"
12350,34,"Logan Hernandez","Bachelors","10+ Miles"
12351,39,"Cara Zhang","High School","10+ Miles"
12352,12,"Ramon Zhang","High School","10+ Miles"
12353,24,"Joe Ramos","Partial College","10+ Miles"
12354,34,"Lance Ortega","Partial College","10+ Miles"
12355,19,"Monique Ortega","Partial High School","10+ Miles"
12356,13,"Julia Wood","Bachelors","10+ Miles"
12357,29,"Susan Lu","High School","10+ Miles"
12358,9,"Lacey Raje","Partial High School","10+ Miles"
12359,9,"Veronica Raman","Graduate Degree","0-1 Miles"
12360,12,"Mario Goel","Partial College","0-1 Miles"
12361,22,"Dana Diaz","Partial High School","10+ Miles"
12362,335,"Thomas Harrison","Bachelors","5-10 Miles"
12363,51,"Kayla Thompson","Graduate Degree","2-5 Miles"
12364,632,"Erin Rogers","Bachelors","2-5 Miles"
12365,611,"Alex Evans","Bachelors","1-2 Miles"
12366,607,"Stephanie Cox","Bachelors","5-10 Miles"
12367,243,"Trinity Townsend","Partial High School","0-1 Miles"
12368,184,"Rodney Rubio","Partial High School","1-2 Miles"
12369,36,"Terrence Lal","Bachelors","0-1 Miles"
12370,15,"Preston Perez","Bachelors","5-10 Miles"
12371,14,"Stefanie Subram","Bachelors","5-10 Miles"
12372,22,"Darren Prasad","Bachelors","0-1 Miles"
12373,209,"Isaac Gray","Partial College","2-5 Miles"
12374,185,"Marie Kapoor","Partial High School","0-1 Miles"
12375,226,"Jarrod Raman","Partial High School","1-2 Miles"
12376,254,"Holly Perez","Partial High School","1-2 Miles"
12377,155,"Christopher Miller","Partial High School","1-2 Miles"
12378,121,"Brianna Sanchez","Partial College","2-5 Miles"
12379,147,"Bridget Chande","Partial College","2-5 Miles"
12380,231,"Omar Yuan","High School","2-5 Miles"
12381,251,"Johnny Lal","Bachelors","1-2 Miles"
12382,252,"Tamara Chen","Partial High School","1-2 Miles"
12383,197,"Albert Gomez","High School","1-2 Miles"
12384,168,"Jacquelyn Gutierrez","Bachelors","0-1 Miles"
12385,229,"Tara Raji","Bachelors","0-1 Miles"
12386,117,"Katherine Perry","Partial High School","1-2 Miles"
12387,190,"Meredith Vazquez","High School","2-5 Miles"
12388,168,"Casey Kumar","High School","1-2 Miles"
12389,215,"Albert Jiménez","High School","2-5 Miles"
12390,140,"Denise Martinez","Partial College","0-1 Miles"
12391,241,"Olivia Kelly","Partial College","1-2 Miles"
12392,237,"Nichole Nath","Partial High School","0-1 Miles"
12393,223,"Brenda Sai","Partial High School","0-1 Miles"
12394,268,"Erika Serrano","Partial High School","1-2 Miles"
12395,207,"Kyle Carter","High School","2-5 Miles"
12396,120,"Susan Yang","High School","2-5 Miles"
12397,173,"Shaun Chapman","Partial College","1-2 Miles"
12398,187,"Ashley Clark","Partial College","0-1 Miles"
12399,156,"Henry Chapman","Partial College","1-2 Miles"
12400,144,"Andy Martin","Partial College","1-2 Miles"
12401,120,"Kimberly Rivera","Partial College","1-2 Miles"
12402,255,"Albert Moreno","Partial College","0-1 Miles"
12403,273,"Henry Young","Partial College","1-2 Miles"
12404,278,"Krystal Liang","Partial College","0-1 Miles"
12405,261,"Cole Sanchez","Partial College","1-2 Miles"
12406,119,"Ross Gutierrez","Graduate Degree","1-2 Miles"
12407,139,"Shawn Raji","Graduate Degree","1-2 Miles"
12408,175,"Jon Lu","Graduate Degree","1-2 Miles"
12409,368,"Savannah Hill","Partial College","1-2 Miles"
12410,300,"Mariah Richardson","Partial College","1-2 Miles"
12411,311,"Kevin Alexander","Partial College","0-1 Miles"
12412,315,"Mackenzie Wright","Graduate Degree","1-2 Miles"
12413,631,"James Gonzales","Graduate Degree","1-2 Miles"
12414,546,"Ethan Lal","Graduate Degree","1-2 Miles"
12415,552,"Brianna Richardson","Graduate Degree","0-1 Miles"
12416,298,"Veronica Martinez","Graduate Degree","1-2 Miles"
12417,307,"Alexis Bryant","Graduate Degree","0-1 Miles"
12418,539,"Robert Hernandez","High School","1-2 Miles"
12419,611,"Destiny Bell","Bachelors","5-10 Miles"
12420,545,"Spencer Hayes","Bachelors","2-5 Miles"
12421,345,"Cameron Hughes","Bachelors","5-10 Miles"
12422,627,"Hailey Evans","Bachelors","5-10 Miles"
12423,631,"Sarah Thompson","Partial High School","1-2 Miles"
12424,638,"Rebecca Mitchell","High School","5-10 Miles"
12425,644,"Brandon White","High School","5-10 Miles"
12426,334,"Cody Cox","Partial College","0-1 Miles"
12427,359,"Kimberly Stewart","Partial College","0-1 Miles"
12428,361,"Sean Morris","Partial College","1-2 Miles"
12429,311,"Melvin Black","Partial College","1-2 Miles"
12430,66,"Kaitlyn Thompson","Partial College","1-2 Miles"
12431,66,"Wyatt Thomas","Partial College","1-2 Miles"
12432,325,"Nathan Clark","Partial College","1-2 Miles"
12433,361,"Antonio Price","Partial College","1-2 Miles"
12434,642,"Thomas Kumar","Partial College","1-2 Miles"
12435,297,"Christy Zhou","Partial College","0-1 Miles"
12436,612,"Albert Diaz","Partial College","0-1 Miles"
12437,548,"Jeremy Young","Partial College","0-1 Miles"
12438,310,"Bailey Rogers","Graduate Degree","1-2 Miles"
12439,536,"Megan Bennett","Partial College","0-1 Miles"
12440,301,"Francisco Chandra","Partial College","0-1 Miles"
12441,299,"Trevor Simmons","Partial College","1-2 Miles"
12442,301,"Allison Richardson","Partial College","0-1 Miles"
12443,301,"Garrett James","Partial College","1-2 Miles"
12444,53,"Mackenzie Phillips","Partial College","1-2 Miles"
12445,546,"Cameron Taylor","Partial College","1-2 Miles"
12446,331,"Jasmine Hall","Partial College","1-2 Miles"
12447,60,"Carson Hayes","Partial College","1-2 Miles"
12448,543,"Hailey Cox","Graduate Degree","0-1 Miles"
12449,60,"Dylan Brown","Graduate Degree","1-2 Miles"
12450,329,"Cody Cook","Graduate Degree","0-1 Miles"
12451,68,"Anna Simmons","Graduate Degree","1-2 Miles"
12452,641,"Sean Sanchez","Graduate Degree","1-2 Miles"
12453,552,"Madison Bennett","Graduate Degree","1-2 Miles"
12454,611,"Samuel Griffin","Graduate Degree","1-2 Miles"
12455,339,"Benjamin Lewis","Graduate Degree","1-2 Miles"
12456,612,"Thomas Chen","Graduate Degree","1-2 Miles"
12457,536,"Misty Rai","Graduate Degree","1-2 Miles"
12458,155,"Veronica Sanchez","Bachelors","1-2 Miles"
12459,260,"Stefanie Rodriguez","Bachelors","1-2 Miles"
12460,257,"Dominique Malhotra","Bachelors","1-2 Miles"
12461,147,"Ruth Suri","Graduate Degree","0-1 Miles"
12462,178,"Levi Suri","Graduate Degree","0-1 Miles"
12463,236,"Todd Huang","Graduate Degree","0-1 Miles"
12464,220,"Jared Cook","High School","0-1 Miles"
12465,239,"Cassandra Patel","Partial College","2-5 Miles"
12466,221,"Willie He","Partial College","2-5 Miles"
12467,196,"Jennifer Jones","Partial College","0-1 Miles"
12468,200,"Wayne Nath","Bachelors","2-5 Miles"
12469,160,"Shane Srini","High School","2-5 Miles"
12470,164,"Barbara He","High School","2-5 Miles"
12471,155,"Lacey Zeng","Bachelors","0-1 Miles"
12472,215,"Jeffery Zhang","Bachelors","2-5 Miles"
12473,277,"Sergio Sai","Bachelors","0-1 Miles"
12474,226,"Tammy Chandra","Bachelors","0-1 Miles"
12475,161,"Logan Carter","Partial High School","0-1 Miles"
12476,260,"Rodney Jimenez","High School","0-1 Miles"
12477,197,"Robin Gill","High School","0-1 Miles"
12478,155,"Ruben Mehta","High School","0-1 Miles"
12479,131,"Priscilla Tang","Bachelors","0-1 Miles"
12480,187,"Meredith Alvarez","Partial High School","0-1 Miles"
12481,152,"Victor Diaz","Partial High School","0-1 Miles"
12482,225,"Jerome Browning","Partial High School","0-1 Miles"
12483,189,"Amanda Perez","High School","0-1 Miles"
12484,147,"Lori Suarez","High School","0-1 Miles"
12485,180,"Veronica Subram","High School","0-1 Miles"
12486,274,"Kristen Ye","High School","0-1 Miles"
12487,135,"Willie Zhu","High School","0-1 Miles"
12488,208,"Jay Garcia","High School","0-1 Miles"
12489,211,"Wayne Rai","Bachelors","0-1 Miles"
12490,201,"Trisha He","Bachelors","0-1 Miles"
12491,262,"Alvin Huang","Bachelors","0-1 Miles"
12492,269,"Brittany Price","Graduate Degree","0-1 Miles"
12493,121,"Dwayne Vazquez","Bachelors","0-1 Miles"
12494,209,"Abby Sandberg","Partial College","0-1 Miles"
12495,131,"Lucas Miller","Partial College","0-1 Miles"
12496,238,"Melanie Cox","Bachelors","0-1 Miles"
12497,174,"Ashlee Kumar","Bachelors","0-1 Miles"
12498,147,"Eduardo Diaz","Bachelors","0-1 Miles"
12499,150,"Heather Wang","High School","2-5 Miles"
12500,172,"Kathleen Vazquez","Partial College","0-1 Miles"
12501,161,"Cory Sai","Partial College","0-1 Miles"
12502,264,"Darren Sanchez","Partial College","0-1 Miles"
12503,279,"Casey Shen","Partial College","0-1 Miles"
12504,239,"Arthur Gutierrez","Bachelors","0-1 Miles"
12505,269,"Dalton Martin","Bachelors","0-1 Miles"
12506,274,"Preston Sanchez","Bachelors","0-1 Miles"
12507,161,"Ian Bell","Partial College","0-1 Miles"
12508,234,"Nichole Anand","Bachelors","0-1 Miles"
12509,221,"Marc Ferrier","Bachelors","0-1 Miles"
