"customerkey","geographykey","customeralternatekey","fullname","gender","maritalstatus","emailaddress","yearlyincome","addressline1","phone","datefirstpurchase","commutedistance"
12296,211,"AW00012296","Francisco A Sara","M","M","francisco11@adventure-works.com","70000.00","24, rue Descartes","1 (11) 500 555-0166","2020-05-19","2-5 Miles"
12297,131,"AW00012297","Felicia NULL Blanco","F","S","felicia15@adventure-works.com","80000.00","Kurfürstenstr 599","1 (11) 500 555-0130","2021-08-12","2-5 Miles"
12298,171,"AW00012298","Crystal NULL Zeng","F","S","crystal1@adventure-works.com","90000.00","Auf Der Steige 6","1 (11) 500 555-0184","2021-08-21","2-5 Miles"
12299,274,"AW00012299","Walter G Serrano","M","M","walter9@adventure-works.com","150000.00","2761 Pinecreek Way","1 (11) 500 555-0176","2021-05-09","5-10 Miles"
12300,180,"AW00012300","Adriana L Gonzalez","F","S","adriana19@adventure-works.com","80000.00","310, rue des Rosiers","1 (11) 500 555-0129","2020-05-24","10+ Miles"
12301,223,"AW00012301","Nichole NULL Nara","F","S","nichole16@adventure-works.com","100000.00","21, avenue de la Gare","1 (11) 500 555-0152","2020-05-10","10+ Miles"
12302,131,"AW00012302","Kevin NULL Coleman","M","M","kevin9@adventure-works.com","100000.00","Reiherweg 5","1 (11) 500 555-0167","2021-08-23","2-5 Miles"
12303,250,"AW00012303","Kristi NULL Alvarez","F","M","kristi1@adventure-works.com","130000.00","3322 Haven Hill Drive","1 (11) 500 555-0111","2022-08-18","0-1 Miles"
12304,253,"AW00012304","Alejandro A Zhou","M","S","alejandro11@adventure-works.com","130000.00","8089 Mariposa Ct.","1 (11) 500 555-0144","2022-09-02","0-1 Miles"
12305,234,"AW00012305","Xavier NULL Bailey","M","M","xavier83@adventure-works.com","80000.00","6720 Bryce Dr.","1 (11) 500 555-0129","2021-06-27","2-5 Miles"
12306,120,"AW00012306","Logan A Parker","M","M","logan27@adventure-works.com","80000.00","Wolfgangstraße 48","1 (11) 500 555-0125","2022-05-02","10+ Miles"
12307,226,"AW00012307","Brad NULL She","M","M","brad1@adventure-works.com","90000.00","12, rue Henri Gagnon","1 (11) 500 555-0136","2020-05-29","2-5 Miles"
12308,184,"AW00012308","Margaret NULL He","F","M","margaret25@adventure-works.com","100000.00","12bis, boulevard du Montparnasse","1 (11) 500 555-0112","2020-06-03","10+ Miles"
12309,235,"AW00012309","Omar R Raje","M","S","omar34@adventure-works.com","130000.00","4192 Mines Road","1 (11) 500 555-0110","2022-03-29","0-1 Miles"
12310,239,"AW00012310","Stacy NULL Munoz","F","S","stacy8@adventure-works.com","130000.00","1545 Bannock Ct.","1 (11) 500 555-0162","2022-10-12","0-1 Miles"
12311,255,"AW00012311","Stanley E Weber","M","S","stanley4@adventure-works.com","130000.00","7859 Green Valley Road","1 (11) 500 555-0133","2022-09-17","0-1 Miles"
12312,196,"AW00012312","Jake NULL Zhao","M","M","jake10@adventure-works.com","100000.00","454, boulevard Tremblay","1 (11) 500 555-0192","2022-10-28","10+ Miles"
12313,199,"AW00012313","Jaime NULL Chande","M","S","jaime37@adventure-works.com","100000.00","15, rue Philibert-Delorme","1 (11) 500 555-0194","2023-01-15","10+ Miles"
12314,119,"AW00012314","Jill J Suarez","F","M","jill27@adventure-works.com","110000.00","Postfach 22 99 99","1 (11) 500 555-0162","2021-08-16","10+ Miles"
12315,246,"AW00012315","Ann S Rodriguez","F","M","ann24@adventure-works.com","130000.00","4865 Rivewview","1 (11) 500 555-0116","2021-06-26","10+ Miles"
12316,255,"AW00012316","Alejandro K Luo","M","M","alejandro32@adventure-works.com","130000.00","2625 Pacheco St","1 (11) 500 555-0124","2021-05-30","10+ Miles"
12317,262,"AW00012317","Carl A She","M","M","carl0@adventure-works.com","150000.00","7199 Natalie Drive","1 (11) 500 555-0172","2021-06-25","0-1 Miles"
12318,271,"AW00012318","Kristina NULL Schmidt","F","M","kristina10@adventure-works.com","170000.00","181 Buena Vista","1 (11) 500 555-0116","2021-06-11","10+ Miles"
12319,115,"AW00012319","Shannon D Ye","F","M","shannon10@adventure-works.com","90000.00","Welt Platz 99","1 (11) 500 555-0116","2022-04-10","10+ Miles"
12320,233,"AW00012320","Cheryl A Alvarez","F","S","cheryl6@adventure-works.com","120000.00","4716 Zebra Street","1 (11) 500 555-0154","2022-08-17","10+ Miles"
12321,211,"AW00012321","Rosa K Hu","F","M","rosa20@adventure-works.com","70000.00","28, place du Tertre","1 (11) 500 555-0192","2020-06-02","2-5 Miles"
12322,211,"AW00012322","Kari V Mehta","F","M","kari14@adventure-works.com","80000.00","9, rue de la Centenaire","1 (11) 500 555-0189","2022-12-22","10+ Miles"
12323,219,"AW00012323","Lawrence S Alonso","M","M","lawrence6@adventure-works.com","80000.00","8111, rue Basse-du-Rocher","1 (11) 500 555-0169","2020-06-24","10+ Miles"
12324,147,"AW00012324","Dale NULL Lal","M","S","dale7@adventure-works.com","90000.00","Postfach 20 99 99","1 (11) 500 555-0130","2022-10-31","10+ Miles"
12325,244,"AW00012325","Gloria A Martin","F","M","gloria3@adventure-works.com","130000.00","4021 Raymond Dr","1 (11) 500 555-0111","2022-08-05","10+ Miles"
12326,279,"AW00012326","Glenn A Zhou","M","S","glenn9@adventure-works.com","170000.00","1516 Redbird Lane","1 (11) 500 555-0131","2022-09-29","0-1 Miles"
12327,156,"AW00012327","Edwin W Liang","M","S","edwin17@adventure-works.com","100000.00","Alte Landstr 1595","1 (11) 500 555-0112","2022-02-05","10+ Miles"
12328,250,"AW00012328","Eugene NULL Zhao","M","S","eugene14@adventure-works.com","130000.00","2128 Evelyn Court","1 (11) 500 555-0164","2021-06-04","0-1 Miles"
12329,278,"AW00012329","Bonnie NULL Shan","F","S","bonnie16@adventure-works.com","170000.00","9192 High Maple Court","1 (11) 500 555-0145","2022-05-22","0-1 Miles"
12330,144,"AW00012330","Preston M Raman","M","M","preston11@adventure-works.com","100000.00","Heiderplatz 918","1 (11) 500 555-0168","2021-08-20","5-10 Miles"
12331,185,"AW00012331","Meagan J Chandra","F","S","meagan2@adventure-works.com","70000.00","54, rue Maillard","1 (11) 500 555-0199","2022-03-05","10+ Miles"
12332,193,"AW00012332","Andres A Nara","M","M","andres14@adventure-works.com","90000.00","83, rue Jean Mermoz","1 (11) 500 555-0173","2020-06-13","5-10 Miles"
12333,190,"AW00012333","Terrance V Rodriguez","M","M","terrance17@adventure-works.com","90000.00","16, rue des Grands Champs","1 (11) 500 555-0141","2020-06-18","5-10 Miles"
12334,250,"AW00012334","Roy NULL Jimenez","M","M","roy26@adventure-works.com","130000.00","1528 Marlene Drive","1 (11) 500 555-0131","2022-06-13","10+ Miles"
12335,267,"AW00012335","Francisco W Ashe","M","S","francisco7@adventure-works.com","150000.00","2281 West Road","1 (11) 500 555-0160","2021-06-11","0-1 Miles"
12336,261,"AW00012336","Wyatt NULL Price","M","S","wyatt52@adventure-works.com","130000.00","7232 Mulberry","1 (11) 500 555-0119","2022-02-23","0-1 Miles"
12337,6,"AW00012337","Dustin NULL Goldstein","M","S","dustin20@adventure-works.com","70000.00","9343 Ironwood Way","1 (11) 500 555-0190","2020-12-05","5-10 Miles"
12338,38,"AW00012338","Monica G Vance","F","S","monica4@adventure-works.com","70000.00","2422 Brookview Drive","1 (11) 500 555-0113","2020-12-24","10+ Miles"
12339,29,"AW00012339","Clayton NULL Jai","M","S","clayton29@adventure-works.com","70000.00","9543 West I St.","1 (11) 500 555-0112","2021-01-13","10+ Miles"
12340,21,"AW00012340","Stacy L Diaz","F","S","stacy4@adventure-works.com","70000.00","1456 Lake Nadine Pl.","1 (11) 500 555-0182","2021-01-23","10+ Miles"
12341,5,"AW00012341","Katie P Kumar","F","M","katie10@adventure-works.com","80000.00","1463 Lincoln Dr","1 (11) 500 555-0140","2021-01-04","10+ Miles"
12342,18,"AW00012342","Morgan L Young","F","M","morgan22@adventure-works.com","70000.00","2807 10th Avenue","1 (11) 500 555-0195","2021-01-10","10+ Miles"
12343,9,"AW00012343","Gloria NULL Ruiz","F","M","gloria4@adventure-works.com","60000.00","406 Countrywood Ct.","1 (11) 500 555-0187","2021-01-17","10+ Miles"
12344,3,"AW00012344","Dominique NULL Perez","F","S","dominique18@adventure-works.com","80000.00","1515 Palm Dr","1 (11) 500 555-0123","2022-03-14","10+ Miles"
12345,27,"AW00012345","Alison J Raje","F","S","alison14@adventure-works.com","80000.00","4037 Kiska Court","1 (11) 500 555-0176","2022-03-31","10+ Miles"
12346,15,"AW00012346","Wesley NULL Gao","M","S","wesley15@adventure-works.com","90000.00","9266 Trees Drive","1 (11) 500 555-0115","2021-01-04","10+ Miles"
12347,40,"AW00012347","Summer D Madan","F","M","summer6@adventure-works.com","90000.00","8172 N. Ranchford","1 (11) 500 555-0194","2021-01-13","10+ Miles"
12348,6,"AW00012348","Jimmy D Vazquez","M","M","jimmy18@adventure-works.com","90000.00","8978 Kingsford Dr.","1 (11) 500 555-0187","2021-01-28","10+ Miles"
12349,15,"AW00012349","Lacey W Yuan","F","S","lacey41@adventure-works.com","90000.00","9852 Shirley Dr","1 (11) 500 555-0125","2020-12-29","10+ Miles"
12350,34,"AW00012350","Logan NULL Hernandez","M","M","logan44@adventure-works.com","90000.00","7625 Cloudview Dr.","1 (11) 500 555-0112","2021-01-06","10+ Miles"
12351,39,"AW00012351","Cara NULL Zhang","F","M","cara0@adventure-works.com","100000.00","1860 Holiday Hill Dr.","1 (11) 500 555-0124","2022-06-23","10+ Miles"
12352,12,"AW00012352","Ramon D Zhang","M","M","ramon0@adventure-works.com","100000.00","3648 Willow Drive","1 (11) 500 555-0136","2022-09-28","10+ Miles"
12353,24,"AW00012353","Joe NULL Ramos","M","M","joe41@adventure-works.com","110000.00","8080 Lancelot Dr.","1 (11) 500 555-0160","2021-01-25","10+ Miles"
12354,34,"AW00012354","Lance C Ortega","M","M","lance22@adventure-works.com","110000.00","9735 Sullivan Ave.","1 (11) 500 555-0123","2021-01-03","10+ Miles"
12355,19,"AW00012355","Monique C Ortega","F","S","monique18@adventure-works.com","120000.00","5462 El Pintado Rd.","1 (11) 500 555-0177","2020-12-29","10+ Miles"
12356,13,"AW00012356","Julia L Wood","F","S","julia68@adventure-works.com","90000.00","1073 Bonnie Lane","1 (11) 500 555-0148","2021-01-09","10+ Miles"
12357,29,"AW00012357","Susan C Lu","F","S","susan21@adventure-works.com","100000.00","4519 Sequoia Drive","1 (11) 500 555-0148","2022-10-29","10+ Miles"
12358,9,"AW00012358","Lacey T Raje","F","M","lacey4@adventure-works.com","100000.00","8986 Rubiem Ct","1 (11) 500 555-0115","2021-01-28","10+ Miles"
12359,9,"AW00012359","Veronica R Raman","F","M","veronica13@adventure-works.com","130000.00","7107 Kingsford Dr.","1 (11) 500 555-0157","2022-09-11","0-1 Miles"
12360,12,"AW00012360","Mario J Goel","M","S","mario18@adventure-works.com","130000.00","4898 Hillview Dr.","1 (11) 500 555-0137","2021-01-16","0-1 Miles"
12361,22,"AW00012361","Dana C Diaz","F","M","dana19@adventure-works.com","160000.00","2241 Concord Place","1 (11) 500 555-0194","2022-09-18","10+ Miles"
12362,335,"AW00012362","Thomas NULL Harrison","M","S","thomas25@adventure-works.com","90000.00","2662 Limewood Place","677-555-0112","2020-12-04","5-10 Miles"
12363,51,"AW00012363","Kayla D Thompson","F","M","kayla16@adventure-works.com","110000.00","412 Miller Dr.","918-555-0192","2022-03-29","2-5 Miles"
12364,632,"AW00012364","Erin NULL Rogers","F","M","erin23@adventure-works.com","130000.00","8387 E. Lane Rd.","920-555-0187","2020-12-26","2-5 Miles"
12365,611,"AW00012365","Alex C Evans","M","M","alex27@adventure-works.com","80000.00","6478 Fenway","948-555-0138","2022-04-01","1-2 Miles"
12366,607,"AW00012366","Stephanie R Cox","F","M","stephanie16@adventure-works.com","80000.00","9064 La Paz","798-555-0198","2022-04-11","5-10 Miles"
12367,243,"AW00012367","Trinity L Townsend","F","S","trinity4@adventure-works.com","10000.00","370 Treat Blvd","1 (11) 500 555-0155","2022-02-10","0-1 Miles"
12368,184,"AW00012368","Rodney L Rubio","M","S","rodney15@adventure-works.com","10000.00","40, rue Royale","1 (11) 500 555-0119","2022-11-27","1-2 Miles"
12369,36,"AW00012369","Terrence NULL Lal","M","S","terrence8@adventure-works.com","60000.00","2680 Claudia Drive","1 (11) 500 555-0168","2022-09-25","0-1 Miles"
12370,15,"AW00012370","Preston NULL Perez","M","M","preston19@adventure-works.com","60000.00","8306 Sun Tree Lane","1 (11) 500 555-0136","2022-02-10","5-10 Miles"
12371,14,"AW00012371","Stefanie NULL Subram","F","S","stefanie10@adventure-works.com","60000.00","8433 Pacifica Avenue","1 (11) 500 555-0113","2022-07-01","5-10 Miles"
12372,22,"AW00012372","Darren NULL Prasad","M","S","darren12@adventure-works.com","60000.00","P.O. Box 1052","1 (11) 500 555-0193","2022-03-22","0-1 Miles"
12373,209,"AW00012373","Isaac G Gray","M","S","isaac5@adventure-works.com","30000.00","558, rue Faubourg St Antoine","1 (11) 500 555-0161","2020-06-27","2-5 Miles"
12374,185,"AW00012374","Marie NULL Kapoor","F","S","marie5@adventure-works.com","20000.00","1020, quai de Grenelle","1 (11) 500 555-0185","2022-02-07","0-1 Miles"
12375,226,"AW00012375","Jarrod NULL Raman","M","S","jarrod12@adventure-works.com","20000.00","64, route de Marseille","1 (11) 500 555-0158","2023-01-11","1-2 Miles"
12376,254,"AW00012376","Holly E Perez","F","S","holly19@adventure-works.com","20000.00","4824 Kirkwood Ct.","1 (11) 500 555-0112","2022-05-10","1-2 Miles"
12377,155,"AW00012377","Christopher NULL Miller","M","S","christopher6@adventure-works.com","20000.00","Buergermeister-ulrich-str 39","1 (11) 500 555-0116","2022-06-24","1-2 Miles"
12378,121,"AW00012378","Brianna P Sanchez","F","S","brianna25@adventure-works.com","30000.00","Zeiter Weg 9922","1 (11) 500 555-0164","2021-08-07","2-5 Miles"
12379,147,"AW00012379","Bridget E Chande","F","S","bridget17@adventure-works.com","30000.00","Lindenalle 4284","1 (11) 500 555-0153","2022-04-21","2-5 Miles"
12380,231,"AW00012380","Omar C Yuan","M","S","omar26@adventure-works.com","30000.00","2153 Cloudview Dr.","1 (11) 500 555-0174","2021-06-04","2-5 Miles"
12381,251,"AW00012381","Johnny G Lal","M","M","johnny9@adventure-works.com","40000.00","8396 Ruth Drive","1 (11) 500 555-0148","2021-06-19","1-2 Miles"
12382,252,"AW00012382","Tamara NULL Chen","F","S","tamara33@adventure-works.com","20000.00","9199 Park Glenn","1 (11) 500 555-0162","2021-06-28","1-2 Miles"
12383,197,"AW00012383","Albert M Gomez","M","S","albert4@adventure-works.com","30000.00","2401, rue des Bouchers","1 (11) 500 555-0177","2020-05-31","1-2 Miles"
12384,168,"AW00012384","Jacquelyn C Gutierrez","F","M","jacquelyn11@adventure-works.com","40000.00","Curieweg 942","1 (11) 500 555-0161","2021-08-16","0-1 Miles"
12385,229,"AW00012385","Tara NULL Raji","F","M","tara22@adventure-works.com","40000.00","6598 Lorie Ln.","1 (11) 500 555-0120","2021-06-01","0-1 Miles"
12386,117,"AW00012386","Katherine S Perry","F","S","katherine33@adventure-works.com","20000.00","Erftplatz 654","1 (11) 500 555-0125","2021-08-02","1-2 Miles"
12387,190,"AW00012387","Meredith M Vazquez","F","S","meredith38@adventure-works.com","30000.00","2425, avenue de l´Europe","1 (11) 500 555-0168","2022-09-21","2-5 Miles"
12388,168,"AW00012388","Casey G Kumar","F","S","casey8@adventure-works.com","30000.00","Platz des Landtags 55","1 (11) 500 555-0150","2021-08-12","1-2 Miles"
12389,215,"AW00012389","Albert D Jiménez","M","S","albert8@adventure-works.com","30000.00","61, place de Fontenoy","1 (11) 500 555-0192","2022-11-13","2-5 Miles"
12390,140,"AW00012390","Denise L Martinez","F","S","denise18@adventure-works.com","40000.00","Am Grossen Dern 123","1 (11) 500 555-0125","2021-08-05","0-1 Miles"
12391,241,"AW00012391","Olivia L Kelly","F","S","olivia46@adventure-works.com","40000.00","6960 Trees Drive","1 (11) 500 555-0133","2021-06-24","1-2 Miles"
12392,237,"AW00012392","Nichole K Nath","F","S","nichole18@adventure-works.com","10000.00","3228 Pembroke Dr","1 (11) 500 555-0133","2022-01-28","0-1 Miles"
12393,223,"AW00012393","Brenda V Sai","F","S","brenda9@adventure-works.com","20000.00","2, rue Lamarck","1 (11) 500 555-0171","2022-09-27","0-1 Miles"
12394,268,"AW00012394","Erika NULL Serrano","F","S","erika14@adventure-works.com","20000.00","4919 Hames Court","1 (11) 500 555-0193","2021-06-16","1-2 Miles"
12395,207,"AW00012395","Kyle K Carter","M","S","kyle39@adventure-works.com","30000.00","8182, chaussée de Tournai","1 (11) 500 555-0120","2020-06-19","2-5 Miles"
12396,120,"AW00012396","Susan E Yang","F","S","susan14@adventure-works.com","30000.00","Erftplatz 900","1 (11) 500 555-0175","2022-10-15","2-5 Miles"
12397,173,"AW00012397","Shaun K Chapman","M","S","shaun17@adventure-works.com","40000.00","Am Grossen Dern 725","1 (11) 500 555-0119","2021-08-23","1-2 Miles"
12398,187,"AW00012398","Ashley H Clark","F","S","ashley20@adventure-works.com","40000.00","804, avenue du Québec","1 (11) 500 555-0196","2020-06-17","0-1 Miles"
12399,156,"AW00012399","Henry L Chapman","M","S","henry4@adventure-works.com","40000.00","Knaackstr 556","1 (11) 500 555-0161","2022-08-23","1-2 Miles"
12400,144,"AW00012400","Andy F Martin","M","S","andy5@adventure-works.com","40000.00","Winter der Böck 8456","1 (11) 500 555-0144","2022-08-09","1-2 Miles"
12401,120,"AW00012401","Kimberly NULL Rivera","F","S","kimberly19@adventure-works.com","40000.00","Königstr 28","1 (11) 500 555-0114","2022-09-19","1-2 Miles"
12402,255,"AW00012402","Albert NULL Moreno","M","S","albert9@adventure-works.com","40000.00","3941 Teakwood Dr","1 (11) 500 555-0171","2021-06-08","0-1 Miles"
12403,273,"AW00012403","Henry NULL Young","M","S","henry24@adventure-works.com","40000.00","7499 Yolanda Circle","1 (11) 500 555-0140","2022-11-20","1-2 Miles"
12404,278,"AW00012404","Krystal S Liang","F","S","krystal17@adventure-works.com","40000.00","1500 Grant Street","1 (11) 500 555-0137","2021-07-22","0-1 Miles"
12405,261,"AW00012405","Cole NULL Sanchez","M","S","cole18@adventure-works.com","40000.00","2620 Tice","1 (11) 500 555-0185","2023-01-07","1-2 Miles"
12406,119,"AW00012406","Ross NULL Gutierrez","M","S","ross29@adventure-works.com","50000.00","Alte Landstr 29","1 (11) 500 555-0149","2022-12-16","1-2 Miles"
12407,139,"AW00012407","Shawn NULL Raji","M","S","shawn23@adventure-works.com","50000.00","Zeiter Weg 6399","1 (11) 500 555-0122","2022-10-26","1-2 Miles"
12408,175,"AW00012408","Jon M Lu","M","S","jon31@adventure-works.com","50000.00","Hauptstr 6146","1 (11) 500 555-0185","2022-09-30","1-2 Miles"
12409,368,"AW00012409","Savannah E Hill","F","S","savannah35@adventure-works.com","40000.00","1583 Westwood Lane","584-555-0142","2022-05-20","1-2 Miles"
12410,300,"AW00012410","Mariah NULL Richardson","F","S","mariah34@adventure-works.com","40000.00","8032 Gumwood","691-555-0171","2022-04-05","1-2 Miles"
12411,311,"AW00012411","Kevin NULL Alexander","M","S","kevin21@adventure-works.com","40000.00","6115 Glenside Court","915-555-0172","2022-06-30","0-1 Miles"
12412,315,"AW00012412","Mackenzie K Wright","F","M","mackenzie41@adventure-works.com","50000.00","2287 El Dorado","785-555-0197","2022-10-25","1-2 Miles"
12413,631,"AW00012413","James L Gonzales","M","S","james32@adventure-works.com","60000.00","5719 A St.","988-555-0116","2022-06-20","1-2 Miles"
12414,546,"AW00012414","Ethan A Lal","M","S","ethan25@adventure-works.com","60000.00","8524 C Mt. Hood Circle","569-555-0151","2022-05-27","1-2 Miles"
12415,552,"AW00012415","Brianna G Richardson","F","S","brianna36@adventure-works.com","60000.00","9178 Sand Pointe Lane","424-555-0194","2022-11-22","0-1 Miles"
12416,298,"AW00012416","Veronica S Martinez","F","S","veronica19@adventure-works.com","60000.00","492 Loveridge Circle","114-555-0170","2022-06-29","1-2 Miles"
12417,307,"AW00012417","Alexis A Bryant","F","S","alexis41@adventure-works.com","60000.00","4617 Sheppard Way","535-555-0111","2023-01-05","0-1 Miles"
12418,539,"AW00012418","Robert NULL Hernandez","M","S","robert60@adventure-works.com","20000.00","1725 La Salle Ave.","175-555-0178","2020-12-21","1-2 Miles"
12419,611,"AW00012419","Destiny A Bell","F","M","destiny30@adventure-works.com","30000.00","8807 Soto St.","419-555-0128","2022-06-10","5-10 Miles"
12420,545,"AW00012420","Spencer V Hayes","M","M","spencer25@adventure-works.com","30000.00","8336 Newport Dr.","204-555-0153","2022-03-15","2-5 Miles"
12421,345,"AW00012421","Cameron A Hughes","M","M","cameron6@adventure-works.com","30000.00","6396 Market Place","287-555-0142","2022-03-12","5-10 Miles"
12422,627,"AW00012422","Hailey C Evans","F","M","hailey43@adventure-works.com","30000.00","3591 East 18th Street","489-555-0124","2022-10-13","5-10 Miles"
12423,631,"AW00012423","Sarah NULL Thompson","F","S","sarah17@adventure-works.com","20000.00","6277 Morengo Ct.","412-555-0111","2020-12-19","1-2 Miles"
12424,638,"AW00012424","Rebecca M Mitchell","F","M","rebecca13@adventure-works.com","30000.00","9809 St. Germain Lane","337-555-0114","2022-08-25","5-10 Miles"
12425,644,"AW00012425","Brandon C White","M","M","brandon33@adventure-works.com","30000.00","9146 Columbia River Ct.","716-555-0187","2022-11-17","5-10 Miles"
12426,334,"AW00012426","Cody NULL Cox","M","M","cody11@adventure-works.com","40000.00","4693 Mills Dr.","328-555-0119","2022-11-05","0-1 Miles"
12427,359,"AW00012427","Kimberly C Stewart","F","M","kimberly24@adventure-works.com","40000.00","6289 Via Del Verdes","732-555-0139","2022-06-04","0-1 Miles"
12428,361,"AW00012428","Sean K Morris","M","M","sean26@adventure-works.com","40000.00","6603 Jennifer Way","951-555-0193","2022-10-26","1-2 Miles"
12429,311,"AW00012429","Melvin NULL Black","M","M","melvin19@adventure-works.com","40000.00","4176 Alexander Pl","810-555-0164","2022-03-05","1-2 Miles"
12430,66,"AW00012430","Kaitlyn L Thompson","F","M","kaitlyn38@adventure-works.com","40000.00","5675 Fairoaks Way","445-555-0190","2022-04-20","1-2 Miles"
12431,66,"AW00012431","Wyatt R Thomas","M","M","wyatt11@adventure-works.com","40000.00","8033 Chaucer Drive","213-555-0147","2022-03-21","1-2 Miles"
12432,325,"AW00012432","Nathan NULL Clark","M","M","nathan53@adventure-works.com","40000.00","342 Summerfield Dr.","809-555-0149","2022-10-26","1-2 Miles"
12433,361,"AW00012433","Antonio E Price","M","M","antonio0@adventure-works.com","40000.00","4451 Carmel Dr.","652-555-0177","2022-03-30","1-2 Miles"
12434,642,"AW00012434","Thomas M Kumar","M","M","thomas31@adventure-works.com","40000.00","3344 Arguello Blvd.","404-555-0141","2022-11-20","1-2 Miles"
12435,297,"AW00012435","Christy NULL Zhou","F","M","christy8@adventure-works.com","40000.00","7527 Brook Way","721-555-0117","2020-12-04","0-1 Miles"
12436,612,"AW00012436","Albert A Diaz","M","M","albert5@adventure-works.com","40000.00","8574 Hidden Oak Ct.","744-555-0110","2022-06-16","0-1 Miles"
12437,548,"AW00012437","Jeremy NULL Young","M","M","jeremy8@adventure-works.com","40000.00","1459 Placer Dr.","657-555-0116","2020-12-13","0-1 Miles"
12438,310,"AW00012438","Bailey NULL Rogers","F","S","bailey17@adventure-works.com","80000.00","6120 Evergreen Ct.","161-555-0140","2020-12-09","1-2 Miles"
12439,536,"AW00012439","Megan J Bennett","F","M","megan51@adventure-works.com","40000.00","2176 Apollo Way","802-555-0150","2022-03-25","0-1 Miles"
12440,301,"AW00012440","Francisco A Chandra","M","M","francisco3@adventure-works.com","40000.00","2084 Ahwanee Lane","146-555-0144","2020-11-29","0-1 Miles"
12441,299,"AW00012441","Trevor NULL Simmons","M","M","trevor15@adventure-works.com","40000.00","5221 Del Vista Court","146-555-0139","2020-12-03","1-2 Miles"
12442,301,"AW00012442","Allison NULL Richardson","F","M","allison8@adventure-works.com","40000.00","4344 Azoras Cir","618-555-0124","2020-11-30","0-1 Miles"
12443,301,"AW00012443","Garrett NULL James","M","M","garrett3@adventure-works.com","40000.00","6190 Terra Granada","744-555-0130","2023-01-18","1-2 Miles"
12444,53,"AW00012444","Mackenzie NULL Phillips","F","M","mackenzie28@adventure-works.com","40000.00","6685 Rosina Court","372-555-0117","2022-03-03","1-2 Miles"
12445,546,"AW00012445","Cameron T Taylor","M","M","cameron49@adventure-works.com","40000.00","5083 Bates Court","694-555-0145","2022-08-08","1-2 Miles"
12446,331,"AW00012446","Jasmine M Hall","F","M","jasmine21@adventure-works.com","40000.00","5366 Clayton Way","147-555-0117","2020-12-08","1-2 Miles"
12447,60,"AW00012447","Carson A Hayes","M","M","carson22@adventure-works.com","40000.00","6799 El Camino Dr.","137-555-0160","2022-05-03","1-2 Miles"
12448,543,"AW00012448","Hailey NULL Cox","F","S","hailey11@adventure-works.com","60000.00","8203 Courtland Drive","391-555-0176","2020-12-26","0-1 Miles"
12449,60,"AW00012449","Dylan J Brown","M","S","dylan39@adventure-works.com","60000.00","549 Via Appia","480-555-0194","2022-06-10","1-2 Miles"
12450,329,"AW00012450","Cody K Cook","M","M","cody21@adventure-works.com","60000.00","7084 Catanzaro Way","807-555-0125","2020-12-24","0-1 Miles"
12451,68,"AW00012451","Anna K Simmons","F","S","anna40@adventure-works.com","60000.00","6793 Longview Road","242-555-0193","2022-06-20","1-2 Miles"
12452,641,"AW00012452","Sean NULL Sanchez","M","M","sean25@adventure-works.com","60000.00","2350 Mildred Ln.","496-555-0128","2020-12-21","1-2 Miles"
12453,552,"AW00012453","Madison NULL Bennett","F","S","madison36@adventure-works.com","60000.00","4742 Granada Dr.","127-555-0115","2022-05-20","1-2 Miles"
12454,611,"AW00012454","Samuel K Griffin","M","M","samuel20@adventure-works.com","60000.00","4074 Northwood Dr","884-555-0114","2022-04-08","1-2 Miles"
12455,339,"AW00012455","Benjamin NULL Lewis","M","M","benjamin58@adventure-works.com","60000.00","3420 Weber Bryan Pl.","763-555-0144","2022-11-17","1-2 Miles"
12456,612,"AW00012456","Thomas NULL Chen","M","M","thomas28@adventure-works.com","60000.00","2530 Spring Hill Road","860-555-0179","2023-01-16","1-2 Miles"
12457,536,"AW00012457","Misty H Rai","F","S","misty19@adventure-works.com","60000.00","1094 Loveridge Circle","619-555-0134","2022-04-04","1-2 Miles"
12458,155,"AW00012458","Veronica A Sanchez","F","M","veronica22@adventure-works.com","30000.00","Königsteiner Straße 550","1 (11) 500 555-0159","2022-09-04","1-2 Miles"
12459,260,"AW00012459","Stefanie L Rodriguez","F","S","stefanie17@adventure-works.com","30000.00","1293 Silverwood Drive","1 (11) 500 555-0182","2021-07-02","1-2 Miles"
12460,257,"AW00012460","Dominique NULL Malhotra","F","S","dominique4@adventure-works.com","30000.00","9838 Westchester Pl.","1 (11) 500 555-0140","2021-07-25","1-2 Miles"
12461,147,"AW00012461","Ruth A Suri","F","M","ruth6@adventure-works.com","40000.00","Westheimer Straße 9292","1 (11) 500 555-0114","2021-08-15","0-1 Miles"
12462,178,"AW00012462","Levi J Suri","M","M","levi0@adventure-works.com","40000.00","Zollhof 6866","1 (11) 500 555-0180","2021-09-07","0-1 Miles"
12463,236,"AW00012463","Todd NULL Huang","M","M","todd7@adventure-works.com","40000.00","4369 Carpetta Circle","1 (11) 500 555-0114","2021-07-06","0-1 Miles"
12464,220,"AW00012464","Jared NULL Cook","M","S","jared23@adventure-works.com","10000.00","646, place du Tertre","1 (11) 500 555-0112","2020-07-23","0-1 Miles"
12465,239,"AW00012465","Cassandra P Patel","F","M","cassandra3@adventure-works.com","20000.00","8374 Vista Del Diablo","1 (11) 500 555-0134","2022-03-30","2-5 Miles"
