"customerkey","geographykey","customername","englisheducation","commutedistance","geography_key","city","stateprovincename","countryname"
14309,30,"Orlando Sanz","Graduate Degree","1-2 Miles",30,"Perth","South Australia","Australia"
14310,14,"Jon Zeng","Graduate Degree","0-1 Miles",14,"Rhodes","New South Wales","Australia"
14311,18,"Erik Alvarez","Graduate Degree","1-2 Miles",18,"Sydney","New South Wales","Australia"
14312,21,"Claudia Lin","Partial College","5-10 Miles",21,"Caloundra","Queensland","Australia"
14400,360,"Brandon Brown","Bachelors","10+ Miles",360,"San Francisco","California","United States"
14313,13,"Christian Smith","Partial College","5-10 Miles",13,"Port Macquarie","New South Wales","Australia"
14314,31,"Katherine Cooper","Bachelors","0-1 Miles",31,"Hobart","Tasmania","Australia"
14315,27,"Carl Chander","Bachelors","5-10 Miles",27,"Townsville","Queensland","Australia"
14316,2,"Leonard Anand","Partial College","0-1 Miles",2,"Coffs Harbour","New South Wales","Australia"
14317,6,"Steve Liang","Bachelors","5-10 Miles",6,"Lavender Bay","New South Wales","Australia"
14318,26,"Seth Rogers","Partial College","5-10 Miles",26,"Rockhampton","Queensland","Australia"
14319,40,"Renee Sanz","Partial College","5-10 Miles",40,"Warrnambool","Victoria","Australia"
14320,30,"Amy Hu","Partial College","5-10 Miles",30,"Perth","South Australia","Australia"
14321,39,"Jackson Evans","Bachelors","1-2 Miles",39,"Sunbury","Victoria","Australia"
14322,2,"Sydney Thomas","Bachelors","2-5 Miles",2,"Coffs Harbour","New South Wales","Australia"
14323,14,"Colin Tang","Partial College","0-1 Miles",14,"Rhodes","New South Wales","Australia"
14324,38,"Jessie Alvarez","Partial College","5-10 Miles",38,"South Melbourne","Victoria","Australia"
14325,35,"Crystal Li","Partial College","5-10 Miles",35,"Melbourne","Victoria","Australia"
14326,27,"Joe Perez","Partial College","5-10 Miles",27,"Townsville","Queensland","Australia"
14327,315,"Kyle Butler","High School","0-1 Miles",315,"Downey","California","United States"
14328,64,"Andrea Rogers","High School","0-1 Miles",64,"Shawnee","British Columbia","Canada"
14329,301,"Holly Sanchez","High School","0-1 Miles",301,"Burbank","California","United States"
14330,66,"Matthew Harris","High School","5-10 Miles",66,"Sooke","British Columbia","Canada"
14331,545,"Timothy Murphy","High School","5-10 Miles",545,"Milwaukie","Oregon","United States"
14332,54,"Jade Rogers","High School","5-10 Miles",54,"N. Vancouver","British Columbia","Canada"
14333,611,"Bobby Suri","Partial High School","5-10 Miles",611,"Bremerton","Washington","United States"
14334,644,"Patrick Murphy","High School","0-1 Miles",644,"Walla Walla","Washington","United States"
14335,644,"Allison Cox","High School","5-10 Miles",644,"Walla Walla","Washington","United States"
14336,536,"Gabriel Baker","High School","5-10 Miles",536,"Beaverton","Oregon","United States"
14337,546,"Olivia Coleman","High School","0-1 Miles",546,"Oregon City","Oregon","United States"
14338,49,"Natalie Taylor","High School","0-1 Miles",49,"Cliffside","British Columbia","Canada"
14339,298,"Brandy Suri","Partial High School","0-1 Miles",298,"Bellflower","California","United States"
14340,548,"Miranda Butler","High School","5-10 Miles",548,"Salem","Oregon","United States"
14341,52,"Sean Sanders","Partial High School","0-1 Miles",52,"Langley","British Columbia","Canada"
14342,607,"Beth Ruiz","High School","0-1 Miles",607,"Ballard","Washington","United States"
14343,539,"Xavier Turner","High School","5-10 Miles",539,"Corvallis","Oregon","United States"
14344,23,"Kurt Xie","Partial College","5-10 Miles",23,"Gold Coast","Queensland","Australia"
14345,32,"Kristi Rodriguez","Bachelors","0-1 Miles",32,"Bendigo","Victoria","Australia"
14346,4,"Evelyn Perez","Bachelors","5-10 Miles",4,"Goulburn","New South Wales","Australia"
14347,7,"Tara Goel","Bachelors","5-10 Miles",7,"Malabar","New South Wales","Australia"
14348,13,"Alex Scott","Graduate Degree","5-10 Miles",13,"Port Macquarie","New South Wales","Australia"
14349,546,"Nicole Griffin","High School","5-10 Miles",546,"Oregon City","Oregon","United States"
14350,547,"Emily Moore","High School","1-2 Miles",547,"Portland","Oregon","United States"
14351,299,"Riley Gray","Partial College","5-10 Miles",299,"Berkeley","California","United States"
14352,626,"Melissa Butler","High School","1-2 Miles",626,"Lynnwood","Washington","United States"
14353,68,"Erin Reed","High School","1-2 Miles",68,"Vancouver","British Columbia","Canada"
14354,358,"Seth Green","Partial College","1-2 Miles",358,"San Carlos","California","United States"
14355,543,"Ian King","Partial College","5-10 Miles",543,"Lebanon","Oregon","United States"
14356,361,"Isabella Baker","Bachelors","1-2 Miles",361,"San Gabriel","California","United States"
14357,368,"Dalton Collins","Bachelors","1-2 Miles",368,"Santa Cruz","California","United States"
14358,623,"Amanda Watson","Bachelors","0-1 Miles",623,"Kirkland","Washington","United States"
14359,53,"Eduardo Henderson","Bachelors","0-1 Miles",53,"Metchosin","British Columbia","Canada"
14360,339,"Samantha Patterson","Graduate Degree","1-2 Miles",339,"Mill Valley","California","United States"
14361,611,"Franklin Raje","Graduate Degree","1-2 Miles",611,"Bremerton","Washington","United States"
14362,536,"Roberto Gill","Partial College","1-2 Miles",536,"Beaverton","Oregon","United States"
14363,70,"Natalie Long","Graduate Degree","0-1 Miles",70,"Westminster","British Columbia","Canada"
14364,299,"Mario Rai","Graduate Degree","0-1 Miles",299,"Berkeley","California","United States"
14365,337,"Evan Ward","Graduate Degree","0-1 Miles",337,"Long Beach","California","United States"
14366,627,"Anna Brooks","Graduate Degree","0-1 Miles",627,"Marysville","Washington","United States"
14367,545,"Courtney Green","Graduate Degree","0-1 Miles",545,"Milwaukie","Oregon","United States"
14368,311,"Richard Thompson","Graduate Degree","1-2 Miles",311,"Concord","California","United States"
14369,546,"Devin Sanchez","Graduate Degree","1-2 Miles",546,"Oregon City","Oregon","United States"
14370,43,"Meghan Dominguez","Graduate Degree","1-2 Miles",43,"Burnaby","British Columbia","Canada"
14371,66,"Jeremiah Lewis","Graduate Degree","1-2 Miles",66,"Sooke","British Columbia","Canada"
14372,632,"Kaitlyn Washington","Graduate Degree","2-5 Miles",632,"Port Orchard","Washington","United States"
14373,302,"Ricardo Jai","Graduate Degree","2-5 Miles",302,"Burlingame","California","United States"
14374,343,"David Yang","Graduate Degree","0-1 Miles",343,"National City","California","United States"
14375,644,"Alexandra Moore","Bachelors","0-1 Miles",644,"Walla Walla","Washington","United States"
14376,616,"Faith Torres","Bachelors","10+ Miles",616,"Everett","Washington","United States"
14377,609,"Paula Ruiz","Bachelors","1-2 Miles",609,"Bellingham","Washington","United States"
14378,302,"Cory Mehta","Graduate Degree","10+ Miles",302,"Burlingame","California","United States"
14379,322,"Richard Foster","Graduate Degree","10+ Miles",322,"Fremont","California","United States"
14380,543,"Kaylee Watson","Bachelors","1-2 Miles",543,"Lebanon","Oregon","United States"
14381,539,"Alexa Cooper","Bachelors","10+ Miles",539,"Corvallis","Oregon","United States"
14382,299,"Darren Blanco","Bachelors","10+ Miles",299,"Berkeley","California","United States"
14383,311,"Marvin Ferrier","Bachelors","2-5 Miles",311,"Concord","California","United States"
14384,638,"Rachel Miller","Bachelors","2-5 Miles",638,"Sedro Woolley","Washington","United States"
14385,543,"Maria Hall","Bachelors","10+ Miles",543,"Lebanon","Oregon","United States"
14386,325,"Marissa Wood","Bachelors","10+ Miles",325,"Glendale","California","United States"
14387,52,"Brittany Hughes","Bachelors","10+ Miles",52,"Langley","British Columbia","Canada"
14388,343,"Kaylee Rogers","Bachelors","1-2 Miles",343,"National City","California","United States"
14389,315,"Ryan Harris","Bachelors","2-5 Miles",315,"Downey","California","United States"
14390,369,"Logan Kumar","Bachelors","2-5 Miles",369,"Santa Monica","California","United States"
14391,638,"Jason Long","Bachelors","1-2 Miles",638,"Sedro Woolley","Washington","United States"
14392,648,"Justin Jackson","Bachelors","10+ Miles",648,"Yakima","Washington","United States"
14393,539,"José Perez","Bachelors","10+ Miles",539,"Corvallis","Oregon","United States"
14394,609,"Jacob Rodriguez","Bachelors","10+ Miles",609,"Bellingham","Washington","United States"
14395,326,"Devin Reed","Bachelors","10+ Miles",326,"Grossmont","California","United States"
14396,631,"Zoe Sanchez","Partial College","10+ Miles",631,"Olympia","Washington","United States"
14397,632,"Sierra Edwards","Partial College","10+ Miles",632,"Port Orchard","Washington","United States"
14398,641,"James Anderson","Partial College","10+ Miles",641,"Spokane","Washington","United States"
14399,359,"Jeremy Peterson","Bachelors","10+ Miles",359,"San Diego","California","United States"
14401,548,"Jose Kumar","Partial College","2-5 Miles",548,"Salem","Oregon","United States"
14402,642,"Hailey Parker","Partial College","10+ Miles",642,"Tacoma","Washington","United States"
14403,298,"Angelica Russell","Partial College","10+ Miles",298,"Bellflower","California","United States"
14404,607,"Rachel Davis","Partial College","2-5 Miles",607,"Ballard","Washington","United States"
14405,609,"Dylan Walker","Partial College","2-5 Miles",609,"Bellingham","Washington","United States"
14406,299,"Carrie Schmidt","Partial College","2-5 Miles",299,"Berkeley","California","United States"
14407,312,"Thomas Bryant","Partial College","2-5 Miles",312,"Coronado","California","United States"
14408,343,"Jasmine Cook","Partial College","10+ Miles",343,"National City","California","United States"
14409,343,"Eric Wang","Partial College","1-2 Miles",343,"National City","California","United States"
14410,345,"Arianna Brooks","Partial College","1-2 Miles",345,"Newport Beach","California","United States"
14411,542,"Ashley Johnson","High School","10+ Miles",542,"Lake Oswego","Oregon","United States"
14412,543,"Nicole Blue","High School","10+ Miles",543,"Lebanon","Oregon","United States"
14413,307,"Rachel Patterson","Partial College","2-5 Miles",307,"Chula Vista","California","United States"
14414,312,"Rachel Wilson","Partial College","2-5 Miles",312,"Coronado","California","United States"
14415,337,"William Davis","Partial College","2-5 Miles",337,"Long Beach","California","United States"
14416,59,"Madison Flores","High School","10+ Miles",59,"Oak Bay","British Columbia","Canada"
14417,609,"Ernest Lu","High School","10+ Miles",609,"Bellingham","Washington","United States"
14418,542,"Rebecca Young","High School","10+ Miles",542,"Lake Oswego","Oregon","United States"
14419,546,"Abigail Ward","Partial College","10+ Miles",546,"Oregon City","Oregon","United States"
14420,626,"Chloe Wright","Partial College","10+ Miles",626,"Lynnwood","Washington","United States"
14421,553,"Hannah Barnes","Partial College","2-5 Miles",553,"Woodburn","Oregon","United States"
14422,177,"Cara Lu","Bachelors","0-1 Miles",177,"Stuttgart","Saarland","Germany"
14423,236,"Jill Ruiz","Bachelors","0-1 Miles",236,"Cheltenham","England","United Kingdom"
14424,213,"Stefanie Raman","Partial College","5-10 Miles",213,"Verrieres Le Buisson","Essonne","France"
14425,129,"Victor Carlson","High School","5-10 Miles",129,"Duesseldorf","Hessen","Germany"
14426,117,"Madison Hughes","Partial College","0-1 Miles",117,"Erlangen","Bayern","Germany"
14427,251,"Emmanuel Patel","Partial College","5-10 Miles",251,"London","England","United Kingdom"
14428,173,"Cassie Andersen","Partial College","0-1 Miles",173,"Poing","Saarland","Germany"
14429,252,"Lacey He","Partial College","0-1 Miles",252,"London","England","United Kingdom"
14430,637,"Sydney Jones","Partial College","5-10 Miles",637,"Seattle","Washington","United States"
14431,300,"Kayla Moore","Partial College","0-1 Miles",300,"Beverly Hills","California","United States"
14432,632,"Antonio Russell","Graduate Degree","5-10 Miles",632,"Port Orchard","Washington","United States"
14433,311,"Jennifer Peterson","Graduate Degree","2-5 Miles",311,"Concord","California","United States"
14434,314,"Sophia Hill","Graduate Degree","2-5 Miles",314,"Daly City","California","United States"
14435,331,"Jennifer Wilson","Graduate Degree","1-2 Miles",331,"La Jolla","California","United States"
14436,68,"John Martin","Partial College","2-5 Miles",68,"Vancouver","British Columbia","Canada"
14437,536,"Mitchell Anand","Partial College","2-5 Miles",536,"Beaverton","Oregon","United States"
14438,618,"Gabrielle Gonzales","Bachelors","2-5 Miles",618,"Issaquah","Washington","United States"
14439,633,"Brian Cox","Partial College","2-5 Miles",633,"Puyallup","Washington","United States"
14440,298,"Jon Tang","Partial College","2-5 Miles",298,"Bellflower","California","United States"
14441,298,"William Lewis","Bachelors","1-2 Miles",298,"Bellflower","California","United States"
14442,335,"Shelby Peterson","Partial College","2-5 Miles",335,"Lemon Grove","California","United States"
14443,339,"Benjamin Wilson","Graduate Degree","0-1 Miles",339,"Mill Valley","California","United States"
14444,339,"Patrick Sanders","Graduate Degree","0-1 Miles",339,"Mill Valley","California","United States"
14445,352,"Benjamin Henderson","Graduate Degree","0-1 Miles",352,"Palo Alto","California","United States"
14446,62,"Jeremiah Johnson","Bachelors","2-5 Miles",62,"Royal Oak","British Columbia","Canada"
14447,609,"Madison Alexander","Partial College","2-5 Miles",609,"Bellingham","Washington","United States"
14448,539,"Lauren Butler","Partial College","2-5 Miles",539,"Corvallis","Oregon","United States"
14449,627,"Logan Jenkins","Partial College","10+ Miles",627,"Marysville","Washington","United States"
14450,329,"Kevin Butler","Graduate Degree","0-1 Miles",329,"Imperial Beach","California","United States"
14451,334,"Tyler Moore","Graduate Degree","0-1 Miles",334,"Lakewood","California","United States"
14452,633,"Alex Gonzalez","Partial College","5-10 Miles",633,"Puyallup","Washington","United States"
14453,611,"Jesse Scott","Partial College","5-10 Miles",611,"Bremerton","Washington","United States"
14454,331,"Kayla Anderson","Graduate Degree","0-1 Miles",331,"La Jolla","California","United States"
14455,53,"Alexandra Mitchell","Partial College","2-5 Miles",53,"Metchosin","British Columbia","Canada"
14456,638,"Benjamin Walker","Partial College","2-5 Miles",638,"Sedro Woolley","Washington","United States"
14457,331,"Thomas White","Partial College","5-10 Miles",331,"La Jolla","California","United States"
14458,62,"Jordan Yang","Partial College","0-1 Miles",62,"Royal Oak","British Columbia","Canada"
14459,68,"Cody Gray","Partial College","5-10 Miles",68,"Vancouver","British Columbia","Canada"
14460,616,"Jose Long","Partial College","1-2 Miles",616,"Everett","Washington","United States"
14461,641,"Chloe Gonzalez","Partial College","5-10 Miles",641,"Spokane","Washington","United States"
14462,300,"Beth Sanz","Bachelors","1-2 Miles",300,"Beverly Hills","California","United States"
14463,312,"Julia Patterson","Partial College","1-2 Miles",312,"Coronado","California","United States"
14464,358,"Elizabeth Price","Bachelors","2-5 Miles",358,"San Carlos","California","United States"
14465,542,"Dakota Patterson","High School","5-10 Miles",542,"Lake Oswego","Oregon","United States"
14466,546,"Logan Adams","High School","5-10 Miles",546,"Oregon City","Oregon","United States"
14467,634,"Aidan Russell","High School","5-10 Miles",634,"Redmond","Washington","United States"
14468,642,"Grace Rivera","High School","5-10 Miles",642,"Tacoma","Washington","United States"
14469,648,"Angela Bell","Partial College","1-2 Miles",648,"Yakima","Washington","United States"
14470,339,"Jeremy Robinson","Bachelors","0-1 Miles",339,"Mill Valley","California","United States"
14471,358,"Gabriel Gonzalez","Bachelors","0-1 Miles",358,"San Carlos","California","United States"
14472,361,"Natalie Diaz","Bachelors","0-1 Miles",361,"San Gabriel","California","United States"
14473,368,"Miguel King","Bachelors","2-5 Miles",368,"Santa Cruz","California","United States"
14474,348,"Jacqueline Murphy","High School","1-2 Miles",348,"Oakland","California","United States"
14475,637,"Isabella Perry","High School","5-10 Miles",637,"Seattle","Washington","United States"
14476,612,"Bryce Reed","High School","1-2 Miles",612,"Burien","Washington","United States"
14477,368,"Lauren Lee","High School","5-10 Miles",368,"Santa Cruz","California","United States"
14478,51,"Abigail Patterson","Partial High School","5-10 Miles",51,"Langford","British Columbia","Canada"
14479,385,"Samantha Smith","Graduate Degree","0-1 Miles",385,"Woodland Hills","California","United States"
14480,68,"Jackson Gonzalez","Partial College","5-10 Miles",68,"Vancouver","British Columbia","Canada"
14481,611,"Mary Edwards","High School","5-10 Miles",611,"Bremerton","Washington","United States"
14482,539,"Noah Perez","High School","5-10 Miles",539,"Corvallis","Oregon","United States"
14483,542,"Nicole Henderson","High School","5-10 Miles",542,"Lake Oswego","Oregon","United States"
14484,343,"Samantha Hall","Bachelors","2-5 Miles",343,"National City","California","United States"
14485,355,"Bailey Stewart","Partial College","2-5 Miles",355,"Redwood City","California","United States"
14486,368,"Jonathan Coleman","Graduate Degree","0-1 Miles",368,"Santa Cruz","California","United States"
14487,358,"Seth Hall","Partial High School","5-10 Miles",358,"San Carlos","California","United States"
14488,299,"Connor Hughes","High School","1-2 Miles",299,"Berkeley","California","United States"
14489,325,"Jason Wang","Graduate Degree","5-10 Miles",325,"Glendale","California","United States"
14490,312,"Aidan Butler","Graduate Degree","5-10 Miles",312,"Coronado","California","United States"
14491,359,"Isaac Bailey","Graduate Degree","5-10 Miles",359,"San Diego","California","United States"
14492,635,"Justin Patterson","Graduate Degree","1-2 Miles",635,"Renton","Washington","United States"
14493,374,"Sara Parker","Graduate Degree","1-2 Miles",374,"Torrance","California","United States"
14494,548,"Cameron Diaz","Graduate Degree","5-10 Miles",548,"Salem","Oregon","United States"
14495,326,"Nathan Diaz","Partial College","5-10 Miles",326,"Grossmont","California","United States"
14496,51,"Cindy Stewart","Partial College","1-2 Miles",51,"Langford","British Columbia","Canada"
14497,52,"Allison Scott","Partial College","5-10 Miles",52,"Langley","British Columbia","Canada"
14498,307,"Katie Luo","Graduate Degree","10+ Miles",307,"Chula Vista","California","United States"
14499,315,"Samuel Flores","Graduate Degree","5-10 Miles",315,"Downey","California","United States"
14500,374,"Jasmine Ward","Bachelors","0-1 Miles",374,"Torrance","California","United States"
14501,300,"Ruben Prasad","Graduate Degree","1-2 Miles",300,"Beverly Hills","California","United States"
14502,53,"Katelyn Wright","Bachelors","5-10 Miles",53,"Metchosin","British Columbia","Canada"
14503,644,"Brianna Alexander","Bachelors","5-10 Miles",644,"Walla Walla","Washington","United States"
14504,69,"Nicole Jones","Graduate Degree","5-10 Miles",69,"Victoria","British Columbia","Canada"
14505,300,"Alex Edwards","Bachelors","0-1 Miles",300,"Beverly Hills","California","United States"
14506,536,"Stacy Suarez","Bachelors","1-2 Miles",536,"Beaverton","Oregon","United States"
14507,385,"Eric Wright","Graduate Degree","1-2 Miles",385,"Woodland Hills","California","United States"
14508,345,"Madison Hall","Graduate Degree","5-10 Miles",345,"Newport Beach","California","United States"
14509,536,"Bridget Deng","Partial College","1-2 Miles",536,"Beaverton","Oregon","United States"
14510,616,"Samuel Hernandez","Bachelors","1-2 Miles",616,"Everett","Washington","United States"
14511,618,"Danielle Rogers","Bachelors","0-1 Miles",618,"Issaquah","Washington","United States"
14512,633,"Christopher Jones","Bachelors","1-2 Miles",633,"Puyallup","Washington","United States"
14513,302,"Alexandra Turner","Graduate Degree","0-1 Miles",302,"Burlingame","California","United States"
14514,299,"Rachel Jones","Partial College","5-10 Miles",299,"Berkeley","California","United States"
14515,335,"Anna Cooper","Partial College","5-10 Miles",335,"Lemon Grove","California","United States"
14516,7,"Tommy Lal","High School","5-10 Miles",7,"Malabar","New South Wales","Australia"
14517,12,"Ebony Rodriguez","High School","1-2 Miles",12,"North Sydney","New South Wales","Australia"
14518,21,"Ann Mehta","High School","5-10 Miles",21,"Caloundra","Queensland","Australia"
14519,536,"Denise Rana","Partial College","5-10 Miles",536,"Beaverton","Oregon","United States"
14520,611,"Bonnie Xu","Partial College","1-2 Miles",611,"Bremerton","Washington","United States"
14521,24,"Rodney Romero","High School","1-2 Miles",24,"Hawthorne","Queensland","Australia"
14522,36,"Omar Zheng","High School","5-10 Miles",36,"Melton","Victoria","Australia"
14523,16,"Lydia Fernandez","Partial College","5-10 Miles",16,"Springwood","New South Wales","Australia"
14524,212,"Carla Prasad","Graduate Degree","0-1 Miles",212,"Morangis","Essonne","France"
14525,238,"Claudia Sun","Graduate Degree","0-1 Miles",238,"Gateshead","England","United Kingdom"
14526,127,"Emily Hall","Graduate Degree","0-1 Miles",127,"Darmstadt","Hessen","Germany"
14527,133,"Kurt Raji","Graduate Degree","0-1 Miles",133,"Kassel","Hessen","Germany"
14528,149,"Casey Ramos","Graduate Degree","0-1 Miles",149,"Mühlheim","Hamburg","Germany"
14529,270,"Kaitlin Sai","Graduate Degree","0-1 Miles",270,"W. York","England","United Kingdom"
14530,271,"Ethan Smith","Graduate Degree","0-1 Miles",271,"Warrington","England","United Kingdom"
14531,271,"Abigail Garcia","Graduate Degree","0-1 Miles",271,"Warrington","England","United Kingdom"
14532,216,"Barbara Wu","Graduate Degree","0-1 Miles",216,"Courbevoie","Hauts de Seine","France"
14533,229,"Roberto Alonso","Bachelors","0-1 Miles",229,"Berks","England","United Kingdom"
14534,207,"Abby Rana","Bachelors","0-1 Miles",207,"Chatou","Yveline","France"
14535,240,"Dustin Anand","Graduate Degree","0-1 Miles",240,"High Wycombe","England","United Kingdom"
14536,180,"Krystal Wu","Graduate Degree","0-1 Miles",180,"Colomiers","Garonne (Haute)","France"
14537,153,"Clayton Cai","Graduate Degree","0-1 Miles",153,"Berlin","Nordrhein-Westfalen","Germany"
14538,187,"Katherine Brown","Graduate Degree","0-1 Miles",187,"Lille","Nord","France"
14539,197,"Carrie Alonso","Graduate Degree","0-1 Miles",197,"Paris","Seine (Paris)","France"
14540,257,"Randy Lin","Bachelors","0-1 Miles",257,"London","England","United Kingdom"
14541,171,"Douglas Kapoor","Graduate Degree","0-1 Miles",171,"Neunkirchen","Saarland","Germany"
14542,261,"Alex Ward","Bachelors","0-1 Miles",261,"Newcastle upon Tyne","England","United Kingdom"
14543,134,"Heather Lu","Partial College","0-1 Miles",134,"München","Hessen","Germany"
14544,189,"Darryl West","Partial College","0-1 Miles",189,"Roubaix","Nord","France"
14545,234,"Faith Henderson","Partial College","1-2 Miles",234,"Bury","England","United Kingdom"
14546,262,"Christina Sanchez","Partial College","0-1 Miles",262,"Oxford","England","United Kingdom"
14547,267,"Noah Thompson","Partial College","1-2 Miles",267,"Runcorn","England","United Kingdom"
14548,186,"Maria Turner","Partial College","0-1 Miles",186,"Dunkerque","Nord","France"
14549,126,"Arturo Goel","Partial College","2-5 Miles",126,"Berlin","Hessen","Germany"
14550,180,"Kristy Vazquez","Bachelors","2-5 Miles",180,"Colomiers","Garonne (Haute)","France"
14551,168,"Michele Vance","Bachelors","0-1 Miles",168,"Kiel","Saarland","Germany"
14552,229,"Daisy Ramos","Bachelors","0-1 Miles",229,"Berks","England","United Kingdom"
14553,266,"Leah Ma","Bachelors","0-1 Miles",266,"Reading","England","United Kingdom"
14554,269,"Isaac Mitchell","Bachelors","0-1 Miles",269,"Stoke-on-Trent","England","United Kingdom"
14555,185,"Jodi Kumar","Partial College","1-2 Miles",185,"Croix","Nord","France"
14556,221,"Rafael He","Partial College","2-5 Miles",221,"Drancy","Seine Saint Denis","France"
14557,31,"Mathew Sanz","Partial College","2-5 Miles",31,"Hobart","Tasmania","Australia"
14558,648,"Marcel Truempy","Bachelors","2-5 Miles",648,"Yakima","Washington","United States"
14559,337,"Ashley Washington","Bachelors","2-5 Miles",337,"Long Beach","California","United States"
14560,298,"Kelvin Huang","Bachelors","2-5 Miles",298,"Bellflower","California","United States"
14561,64,"Eduardo Miller","Bachelors","0-1 Miles",64,"Shawnee","British Columbia","Canada"
14562,311,"Bryce Stewart","Bachelors","0-1 Miles",311,"Concord","California","United States"
14563,631,"Fernando Carter","Bachelors","2-5 Miles",631,"Olympia","Washington","United States"
14564,359,"Chloe Bailey","Bachelors","2-5 Miles",359,"San Diego","California","United States"
14565,343,"Natalie Hernandez","Bachelors","2-5 Miles",343,"National City","California","United States"
14566,50,"Kaylee Mitchell","Graduate Degree","0-1 Miles",50,"Haney","British Columbia","Canada"
14567,64,"Seth Thomas","Graduate Degree","2-5 Miles",64,"Shawnee","British Columbia","Canada"
14568,536,"Priscilla Kumar","Graduate Degree","2-5 Miles",536,"Beaverton","Oregon","United States"
14569,609,"Kristopher Rodriguez","Graduate Degree","0-1 Miles",609,"Bellingham","Washington","United States"
14570,648,"Hannah Henderson","Graduate Degree","0-1 Miles",648,"Yakima","Washington","United States"
14571,298,"Rachel Richardson","Graduate Degree","2-5 Miles",298,"Bellflower","California","United States"
14572,336,"Melanie Foster","Graduate Degree","2-5 Miles",336,"Lincoln Acres","California","United States"
14573,552,"Madison Wood","Graduate Degree","2-5 Miles",552,"W. Linn","Oregon","United States"
14574,66,"Katherine Powell","Graduate Degree","2-5 Miles",66,"Sooke","British Columbia","Canada"
14575,634,"Rachel Lee","Graduate Degree","2-5 Miles",634,"Redmond","Washington","United States"
14576,635,"Anna Price","Bachelors","0-1 Miles",635,"Renton","Washington","United States"
14577,539,"Natalie Rogers","Bachelors","2-5 Miles",539,"Corvallis","Oregon","United States"
14578,49,"Jonathan Carter","Bachelors","2-5 Miles",49,"Cliffside","British Columbia","Canada"
14579,542,"Luis Henderson","Bachelors","2-5 Miles",542,"Lake Oswego","Oregon","United States"
14580,347,"Kyle Diaz","Bachelors","2-5 Miles",347,"Novato","California","United States"
14581,547,"Kevin Adams","Bachelors","0-1 Miles",547,"Portland","Oregon","United States"
14582,69,"Marcus Reed","Graduate Degree","2-5 Miles",69,"Victoria","British Columbia","Canada"
14583,542,"Sydney Morris","Graduate Degree","2-5 Miles",542,"Lake Oswego","Oregon","United States"
14584,383,"Gabrielle Mitchell","Graduate Degree","0-1 Miles",383,"West Covina","California","United States"
14585,385,"Kimberly Torres","Graduate Degree","0-1 Miles",385,"Woodland Hills","California","United States"
14586,58,"Todd Rowe","Bachelors","2-5 Miles",58,"Newton","British Columbia","Canada"
14587,543,"Jade Peterson","Bachelors","0-1 Miles",543,"Lebanon","Oregon","United States"
14588,635,"Alexander Taylor","Bachelors","2-5 Miles",635,"Renton","Washington","United States"
14589,355,"Mackenzie Cook","Bachelors","0-1 Miles",355,"Redwood City","California","United States"
14590,311,"Marissa Butler","Bachelors","2-5 Miles",311,"Concord","California","United States"
14591,335,"Charles Harris","Graduate Degree","2-5 Miles",335,"Lemon Grove","California","United States"
14592,644,"Jessica Thompson","Graduate Degree","0-1 Miles",644,"Walla Walla","Washington","United States"
14593,383,"Jack Washington","Graduate Degree","2-5 Miles",383,"West Covina","California","United States"
14594,383,"Lauren Taylor","Graduate Degree","2-5 Miles",383,"West Covina","California","United States"
14595,325,"Andrea Ward","Graduate Degree","0-1 Miles",325,"Glendale","California","United States"
14596,326,"Amber Hill","Graduate Degree","0-1 Miles",326,"Grossmont","California","United States"
14597,51,"Sean Reed","Graduate Degree","0-1 Miles",51,"Langford","British Columbia","Canada"
14598,68,"Miranda Ross","Graduate Degree","2-5 Miles",68,"Vancouver","British Columbia","Canada"
14599,543,"Charles Wilson","Graduate Degree","0-1 Miles",543,"Lebanon","Oregon","United States"
14600,632,"Ariana Ramirez","Graduate Degree","2-5 Miles",632,"Port Orchard","Washington","United States"
14601,311,"Nicolas Rai","Graduate Degree","0-1 Miles",311,"Concord","California","United States"
14602,383,"Kaylee Kelly","Graduate Degree","0-1 Miles",383,"West Covina","California","United States"
14603,355,"Sara Ward","Bachelors","2-5 Miles",355,"Redwood City","California","United States"
14604,69,"Nicholas Rodriguez","Bachelors","10+ Miles",69,"Victoria","British Columbia","Canada"
14605,62,"Allison Brooks","Bachelors","0-1 Miles",62,"Royal Oak","British Columbia","Canada"
14606,69,"Amanda Cooper","Bachelors","0-1 Miles",69,"Victoria","British Columbia","Canada"
14607,542,"Isaiah Nelson","Bachelors","2-5 Miles",542,"Lake Oswego","Oregon","United States"
14608,611,"Warren Gao","Bachelors","10+ Miles",611,"Bremerton","Washington","United States"
14609,343,"Julia Phillips","Bachelors","2-5 Miles",343,"National City","California","United States"
14610,616,"Lauren Jenkins","Bachelors","5-10 Miles",616,"Everett","Washington","United States"
14611,68,"Zoe James","Bachelors","0-1 Miles",68,"Vancouver","British Columbia","Canada"
14612,300,"Ernest Zhang","Bachelors","2-5 Miles",300,"Beverly Hills","California","United States"
14613,611,"Glenn Huang","Bachelors","0-1 Miles",611,"Bremerton","Washington","United States"
14614,310,"Dylan Bryant","Bachelors","2-5 Miles",310,"Colma","California","United States"
14615,311,"Audrey Dominguez","Bachelors","0-1 Miles",311,"Concord","California","United States"
14616,311,"Emma Sandberg","Bachelors","2-5 Miles",311,"Concord","California","United States"
